"a_index","b_date","c_price"
"BMV","2012-01-26",0.932203389831
"BMV","2012-01-27",0.9437596302
"BMV","2012-01-30",0.939907550077
"BMV","2012-01-31",0.937596302003
"BMV","2012-02-01",0.933359013867
"BMV","2012-02-02",0.916795069337
"BMV","2012-02-03",0.926810477658
"BMV","2012-02-06",0.926810477658
"BMV","2012-02-07",0.926425269646
"BMV","2012-02-08",0.929121725732
"BMV","2012-02-09",0.940677966102
"BMV","2012-02-10",0.941063174114
"BMV","2012-02-13",0.958782742681
"BMV","2012-02-14",0.948382126348
"BMV","2012-02-15",0.954160246533
"BMV","2012-02-16",0.963020030817
"BMV","2012-02-17",0.948767334361
"BMV","2012-02-20",0.963020030817
"BMV","2012-02-21",0.939907550077
"BMV","2012-02-22",0.93875192604
"BMV","2012-02-23",0.941833590139
"BMV","2012-02-24",0.947611710324
"BMV","2012-02-27",0.953004622496
"BMV","2012-02-28",0.96032357473
"BMV","2012-02-29",0.96687211094
"BMV","2012-03-01",0.973805855162
"BMV","2012-03-02",0.970724191063
"BMV","2012-03-05",0.973420647149
"BMV","2012-03-06",0.9437596302
"BMV","2012-03-07",0.951078582435
"BMV","2012-03-08",0.999614791988
"BMV","2012-03-09",0.982280431433
"BMV","2012-03-12",0.974961479199
"BMV","2012-03-13",0.982280431433
"BMV","2012-03-14",0.974576271186
"BMV","2012-03-15",0.9718798151
"BMV","2012-03-16",0.962634822804
"BMV","2012-03-19",0.962634822804
"BMV","2012-03-20",0.973420647149
"BMV","2012-03-21",0.981510015408
"BMV","2012-03-22",0.980739599384
"BMV","2012-03-23",0.97842835131
"BMV","2012-03-26",0.986517719569
"BMV","2012-03-27",0.988058551618
"BMV","2012-03-28",0.994221879815
"BMV","2012-03-29",0.98844375963
"BMV","2012-03-30",0.996918335901
"BMV","2012-04-02",1.018489984592
"BMV","2012-04-03",1.058166409861
"BMV","2012-04-04",1.035439137134
"BMV","2012-04-05",1.035439137134
"BMV","2012-04-06",1.035439137134
"BMV","2012-04-09",1.029661016949
"BMV","2012-04-10",1.001540832049
"BMV","2012-04-11",1.016949152542
"BMV","2012-04-12",1.040061633282
"BMV","2012-04-13",1.024653312789
"BMV","2012-04-16",1.034283513097
"BMV","2012-04-17",1.016949152542
"BMV","2012-04-18",1.015023112481
"BMV","2012-04-19",1.007704160247
"BMV","2012-04-20",0.998844375963
"BMV","2012-04-23",0.99499229584
"BMV","2012-04-24",0.997303543914
"BMV","2012-04-25",1.001540832049
"BMV","2012-04-26",1.020801232666
"BMV","2012-04-27",1.016949152542
"BMV","2012-04-30",1.002696456086
"BMV","2012-05-01",1.002696456086
"BMV","2012-05-02",1.036979969183
"BMV","2012-05-03",1.033898305085
"BMV","2012-05-04",1.041987673344
"BMV","2012-05-07",1.040061633282
"BMV","2012-05-08",1.057395993837
"BMV","2012-05-09",1.047765793529
"BMV","2012-05-10",1.067026194145
"BMV","2012-05-11",1.06625577812
"BMV","2012-05-14",1.00654853621
"BMV","2012-05-15",0.956086286595
"BMV","2012-05-16",0.965716486903
"BMV","2012-05-17",0.959553158706
"BMV","2012-05-18",0.91217257319
"BMV","2012-05-21",0.935285053929
"BMV","2012-05-22",0.966101694915
"BMV","2012-05-23",0.979198767334
"BMV","2012-05-24",0.995762711864
"BMV","2012-05-25",1.003466872111
"BMV","2012-05-28",1.005778120185
"BMV","2012-05-29",1.004622496148
"BMV","2012-05-30",0.986132511556
"BMV","2012-05-31",0.970338983051
"BMV","2012-06-01",0.953389830508
"BMV","2012-06-04",0.951078582435
"BMV","2012-06-05",0.940677966102
"BMV","2012-06-06",0.954545454545
"BMV","2012-06-07",0.949537750385
"BMV","2012-06-08",0.951463790447
"BMV","2012-06-11",0.9437596302
"BMV","2012-06-12",0.9437596302
"BMV","2012-06-13",0.956086286595
"BMV","2012-06-14",0.95531587057
"BMV","2012-06-15",0.993836671803
"BMV","2012-06-18",1.011171032357
"BMV","2012-06-19",1.032357473035
"BMV","2012-06-20",1.027349768875
"BMV","2012-06-21",1.020801232666
"BMV","2012-06-22",1.040061633282
"BMV","2012-06-25",1.015023112481
"BMV","2012-06-26",0.993066255778
"BMV","2012-06-27",1.001540832049
"BMV","2012-06-28",0.999614791988
"BMV","2012-06-29",1.013097072419
"BMV","2012-07-02",1.015408320493
"BMV","2012-07-03",1.032357473035
"BMV","2012-07-04",0.997688751926
"BMV","2012-07-05",1.006933744222
"BMV","2012-07-06",1.005778120185
"BMV","2012-07-09",1.009244992296
"BMV","2012-07-10",1.014252696456
"BMV","2012-07-11",0.999229583975
"BMV","2012-07-12",1.007318952234
"BMV","2012-07-13",1.018489984592
"BMV","2012-07-16",1.023497688752
"BMV","2012-07-17",1.008089368259
"BMV","2012-07-18",0.964946070878
"BMV","2012-07-19",0.953389830508
"BMV","2012-07-20",0.926810477658
"BMV","2012-07-23",0.913713405239
"BMV","2012-07-24",0.936055469954
"BMV","2012-07-25",0.948767334361
"BMV","2012-07-26",0.960708782743
"BMV","2012-07-27",0.9437596302
"BMV","2012-07-30",0.977657935285
"BMV","2012-07-31",0.97842835131
"BMV","2012-08-01",0.980739599384
"BMV","2012-08-02",0.984976887519
"BMV","2012-08-03",0.981124807396
"BMV","2012-08-06",1.001155624037
"BMV","2012-08-07",0.981895223421
"BMV","2012-08-08",0.967642526965
"BMV","2012-08-09",0.960708782743
"BMV","2012-08-10",0.98844375963
"BMV","2012-08-13",0.966486902928
"BMV","2012-08-14",0.970724191063
"BMV","2012-08-15",0.97688751926
"BMV","2012-08-16",0.989214175655
"BMV","2012-08-17",1.011941448382
"BMV","2012-08-20",1.019260400616
"BMV","2012-08-21",1.009630200308
"BMV","2012-08-22",1.005392912173
"BMV","2012-08-23",1.005778120185
"BMV","2012-08-24",0.990369799692
"BMV","2012-08-27",0.994221879815
"BMV","2012-08-28",0.993066255778
"BMV","2012-08-29",0.991910631741
"BMV","2012-08-30",0.997303543914
"BMV","2012-08-31",0.999229583975
"BMV","2012-09-03",1.001155624037
"BMV","2012-09-04",1.007704160247
"BMV","2012-09-05",1.028505392912
"BMV","2012-09-06",1.045069337442
"BMV","2012-09-07",1.034668721109
"BMV","2012-09-10",1.037750385208
"BMV","2012-09-11",1.015793528505
"BMV","2012-09-12",1.002311248074
"BMV","2012-09-13",1.020030816641
"BMV","2012-09-14",1.027734976888
"BMV","2012-09-17",1.013097072419
"BMV","2012-09-18",1.020030816641
"BMV","2012-09-19",1.026194144838
"BMV","2012-09-20",1.021186440678
"BMV","2012-09-21",1.022727272727
"BMV","2012-09-24",1.01656394453
"BMV","2012-09-25",1.011941448382
"BMV","2012-09-26",1.00500770416
"BMV","2012-09-27",1.024268104777
"BMV","2012-09-28",1.022342064715
"BMV","2012-10-01",1.034283513097
"BMV","2012-10-02",1.078582434515
"BMV","2012-10-03",1.076656394453
"BMV","2012-10-04",1.116718027735
"BMV","2012-10-05",1.111710323575
"BMV","2012-10-08",1.115562403698
"BMV","2012-10-09",1.095531587057
"BMV","2012-10-10",1.093990755008
"BMV","2012-10-11",1.104006163328
"BMV","2012-10-12",1.121340523883
"BMV","2012-10-15",1.138289676425
"BMV","2012-10-16",1.147919876733
"BMV","2012-10-17",1.143297380586
"BMV","2012-10-18",1.13405238829
"BMV","2012-10-19",1.104006163328
"BMV","2012-10-22",1.08782742681
"BMV","2012-10-23",1.104006163328
"BMV","2012-10-24",1.104006163328
"BMV","2012-10-25",1.109399075501
"BMV","2012-10-26",1.125963020031
"BMV","2012-10-29",1.116718027735
"BMV","2012-10-30",1.088983050847
"BMV","2012-10-31",1.116718027735
"BMV","2012-11-01",1.135593220339
"BMV","2012-11-02",1.135593220339
"BMV","2012-11-05",1.13405238829
"BMV","2012-11-06",1.147919876733
"BMV","2012-11-07",1.117873651772
"BMV","2012-11-08",1.08281972265
"BMV","2012-11-09",1.076271186441
"BMV","2012-11-12",1.091679506934
"BMV","2012-11-13",1.079352850539
"BMV","2012-11-14",1.046224961479
"BMV","2012-11-15",1.06625577812
"BMV","2012-11-16",1.080123266564
"BMV","2012-11-19",1.080123266564
"BMV","2012-11-20",1.070493066256
"BMV","2012-11-21",1.080123266564
"BMV","2012-11-22",1.104006163328
"BMV","2012-11-23",1.097457627119
"BMV","2012-11-26",1.098998459168
"BMV","2012-11-27",1.090138674884
"BMV","2012-11-28",1.100154083205
"BMV","2012-11-29",1.116718027735
"BMV","2012-11-30",1.098998459168
"BMV","2012-12-03",1.152157164869
"BMV","2012-12-04",1.154853620955
